Task_ID,Task_Description,Deadline,Assigned_To,Estimated_Hours,Category,Status,Priority
1,Testing task to handle cases and QA.,2025-11-10,Sophia,20,Testing,In Progress,Medium
2,Documentation task to handle notes and summary.,2025-12-04,Isabella,4,Documentation,In Progress,Low
3,Testing task to handle QA and error.,2025-11-13,Noah,13,Testing,In Progress,Medium
4,Deployment task to handle container and deploy.,2025-10-18,Ava,27,Deployment,Pending,High
5,Documentation task to handle docs and notes.,2025-11-14,James,4,Documentation,Completed,Low
6,Design task to handle design and banner.,2025-12-04,Noah,5,Design,In Progress,Low
7,Deployment task to handle environment and server.,2025-11-04,Ava,21,Deployment,In Progress,Medium
8,Documentation task to handle guide and docs.,2025-11-20,Lucas,9,Documentation,In Progress,Low
9,Documentation task to handle instructions and summary.,2025-12-09,James,6,Documentation,In Progress,Low
10,Testing task to handle test and performance.,2025-11-06,Sophia,22,Testing,In Progress,Medium
11,Development task to handle logic and function.,2025-10-25,Isabella,33,Development,Pending,High
12,Documentation task to handle docs and guide.,2025-12-03,Isabella,7,Documentation,Completed,Low
13,Development task to handle feature and module.,2025-11-06,James,17,Development,In Progress,Medium
14,Testing task to handle cases and QA.,2025-10-28,Liam,12,Testing,In Progress,Medium
15,Testing task to handle performance and validation.,2025-11-14,James,13,Testing,In Progress,Medium
16,Deployment task to handle container and CI/CD.,2025-10-29,Liam,24,Deployment,In Progress,Medium
17,Documentation task to handle instructions and manual.,2025-11-18,Noah,4,Documentation,Completed,Low
18,Deployment task to handle production and deploy.,2025-10-22,Olivia,27,Deployment,Pending,High
19,Development task to handle database and feature.,2025-11-08,James,17,Development,In Progress,Medium
20,Design task to handle mockup and design.,2025-11-24,Noah,8,Design,In Progress,Low
21,Testing task to handle error and performance.,2025-10-26,Lucas,21,Testing,In Progress,Medium
22,Deployment task to handle deploy and production.,2025-10-21,Liam,28,Deployment,Pending,High
23,Design task to handle UX and UI.,2025-12-03,Emma,8,Design,In Progress,Low
24,Design task to handle color and banner.,2025-11-14,Isabella,5,Design,Completed,Low
25,Deployment task to handle CI/CD and cloud.,2025-10-28,Sophia,14,Deployment,In Progress,Medium
26,Documentation task to handle manual and notes.,2025-11-22,Mia,5,Documentation,Completed,Low
27,Deployment task to handle server and production.,2025-11-01,Ava,14,Deployment,In Progress,Medium
28,Design task to handle UX and design.,2025-11-02,Liam,11,Design,In Progress,Medium
29,Development task to handle function and API.,2025-10-29,Sophia,19,Development,In Progress,Medium
30,Documentation task to handle reference and instructions.,2025-11-28,Sophia,5,Documentation,Completed,Low
31,Testing task to handle QA and cases.,2025-11-01,Liam,19,Testing,In Progress,Medium
32,Development task to handle function and API.,2025-10-23,Sophia,32,Development,In Progress,High
33,Documentation task to handle docs and summary.,2025-12-01,Mia,9,Documentation,In Progress,Low
34,Testing task to handle test and validation.,2025-10-28,Ava,19,Testing,In Progress,Medium
35,Design task to handle banner and design.,2025-11-12,Emma,11,Design,In Progress,Medium
36,Testing task to handle test and performance.,2025-10-30,Isabella,13,Testing,In Progress,Medium
37,Development task to handle database and module.,2025-10-18,Mia,36,Development,Pending,High
38,Development task to handle API and function.,2025-10-23,Emma,26,Development,In Progress,High
39,Development task to handle database and function.,2025-12-12,Noah,10,Development,In Progress,Low
40,Development task to handle API and logic.,2025-11-05,Liam,16,Development,In Progress,Medium
41,Testing task to handle validation and test.,2025-11-06,Lucas,16,Testing,In Progress,Medium
42,Documentation task to handle instructions and summary.,2025-11-15,Sophia,10,Documentation,In Progress,Low
43,Documentation task to handle summary and reference.,2025-11-14,Noah,2,Documentation,Completed,Low
44,Design task to handle layout and UX.,2025-11-06,Liam,17,Design,In Progress,Medium
45,Development task to handle function and backend.,2025-10-20,Ava,27,Development,Pending,High
46,Documentation task to handle notes and guide.,2025-12-11,Liam,8,Documentation,In Progress,Low
47,Documentation task to handle summary and reference.,2025-11-17,Liam,9,Documentation,In Progress,Low
48,Documentation task to handle instructions and docs.,2025-12-04,James,2,Documentation,Completed,Low
49,Documentation task to handle instructions and manual.,2025-11-20,Mia,5,Documentation,Completed,Low
50,Documentation task to handle guide and summary.,2025-11-14,Noah,8,Documentation,In Progress,Low
51,Design task to handle color and mockup.,2025-11-12,James,15,Design,In Progress,Medium
52,Deployment task to handle production and deploy.,2025-11-14,Ava,18,Deployment,In Progress,Medium
53,Deployment task to handle container and CI/CD.,2025-12-10,Mia,8,Deployment,In Progress,Low
54,Development task to handle feature and logic.,2025-11-11,Isabella,19,Development,In Progress,Medium
55,Deployment task to handle environment and production.,2025-11-05,Liam,21,Deployment,In Progress,Medium
56,Deployment task to handle container and cloud.,2025-11-13,Noah,11,Deployment,In Progress,Medium
57,Deployment task to handle server and deploy.,2025-10-27,Noah,21,Deployment,In Progress,Medium
58,Documentation task to handle docs and notes.,2025-11-14,James,8,Documentation,In Progress,Low
59,Development task to handle database and API.,2025-11-04,Emma,13,Development,In Progress,Medium
60,Documentation task to handle notes and instructions.,2025-11-16,Ava,10,Documentation,In Progress,Low
61,Documentation task to handle guide and notes.,2025-11-28,Lucas,5,Documentation,In Progress,Low
62,Testing task to handle bug and validation.,2025-11-10,James,17,Testing,In Progress,Medium
63,Development task to handle function and database.,2025-10-20,Olivia,33,Development,In Progress,High
64,Design task to handle banner and mockup.,2025-11-06,Isabella,11,Design,In Progress,Medium
65,Design task to handle layout and UX.,2025-11-01,Ava,18,Design,In Progress,Medium
66,Development task to handle logic and backend.,2025-10-21,Isabella,33,Development,Pending,High
67,Testing task to handle QA and error.,2025-11-06,Emma,13,Testing,In Progress,Medium
68,Testing task to handle error and bug.,2025-11-01,Olivia,11,Testing,In Progress,Medium
69,Development task to handle feature and logic.,2025-11-12,Isabella,21,Development,In Progress,Medium
70,Testing task to handle QA and validation.,2025-11-09,Sophia,21,Testing,In Progress,Medium
71,Design task to handle banner and design.,2025-11-02,Olivia,11,Design,In Progress,Medium
72,Development task to handle module and logic.,2025-11-04,Noah,20,Development,In Progress,Medium
73,Deployment task to handle CI/CD and cloud.,2025-12-11,Isabella,9,Deployment,In Progress,Low
74,Deployment task to handle container and environment.,2025-11-06,Liam,17,Deployment,In Progress,Medium
75,Design task to handle mockup and UI.,2025-11-25,James,6,Design,Completed,Low
76,Testing task to handle error and performance.,2025-11-05,Mia,22,Testing,In Progress,Medium
77,Design task to handle mockup and design.,2025-10-31,Sophia,13,Design,In Progress,Medium
78,Deployment task to handle container and CI/CD.,2025-10-25,Noah,17,Deployment,In Progress,Medium
79,Documentation task to handle instructions and notes.,2025-12-13,Isabella,3,Documentation,In Progress,Low
80,Deployment task to handle container and CI/CD.,2025-11-09,Olivia,11,Deployment,In Progress,Medium
81,Deployment task to handle CI/CD and container.,2025-12-06,James,10,Deployment,In Progress,Low
82,Documentation task to handle instructions and guide.,2025-11-14,Liam,5,Documentation,In Progress,Low
83,Deployment task to handle cloud and deploy.,2025-11-03,James,23,Deployment,In Progress,Medium
84,Design task to handle UI and design.,2025-11-20,Emma,5,Design,In Progress,Low
85,Testing task to handle cases and test.,2025-10-28,Noah,25,Testing,In Progress,Medium
86,Design task to handle design and banner.,2025-11-01,Noah,11,Design,In Progress,Medium
87,Documentation task to handle instructions and summary.,2025-11-26,Sophia,10,Documentation,In Progress,Low
88,Testing task to handle validation and performance.,2025-11-12,Sophia,24,Testing,In Progress,Medium
89,Development task to handle module and feature.,2025-11-07,Ava,25,Development,In Progress,Medium
90,Design task to handle design and UI.,2025-11-10,Isabella,19,Design,In Progress,Medium
91,Design task to handle color and mockup.,2025-11-08,Emma,15,Design,In Progress,Medium
92,Development task to handle function and API.,2025-10-24,Olivia,30,Development,Pending,High
93,Testing task to handle test and cases.,2025-11-05,Ava,20,Testing,In Progress,Medium
94,Testing task to handle cases and error.,2025-10-30,Olivia,23,Testing,In Progress,Medium
95,Testing task to handle bug and error.,2025-11-08,Liam,21,Testing,In Progress,Medium
96,Design task to handle banner and mockup.,2025-11-08,Olivia,19,Design,In Progress,Medium
97,Development task to handle module and API.,2025-10-23,Sophia,29,Development,In Progress,High
98,Design task to handle banner and design.,2025-12-02,Emma,7,Design,In Progress,Low
99,Testing task to handle performance and cases.,2025-10-29,Mia,16,Testing,In Progress,Medium
100,Documentation task to handle instructions and notes.,2025-12-11,Isabella,6,Documentation,Completed,Low
101,Testing task to handle cases and performance.,2025-11-01,Mia,20,Testing,In Progress,Medium
102,Testing task to handle bug and test.,2025-11-03,Isabella,23,Testing,In Progress,Medium
103,Development task to handle logic and backend.,2025-10-21,Sophia,38,Development,Pending,High
104,Design task to handle UI and UX.,2025-11-14,Sophia,6,Design,Completed,Low
105,Testing task to handle validation and QA.,2025-11-02,Sophia,19,Testing,In Progress,Medium
106,Testing task to handle test and cases.,2025-11-28,Liam,9,Testing,In Progress,Low
107,Design task to handle mockup and banner.,2025-11-06,James,13,Design,In Progress,Medium
108,Design task to handle mockup and UX.,2025-12-02,Liam,8,Design,In Progress,Low
109,Testing task to handle test and bug.,2025-11-09,James,20,Testing,In Progress,Medium
110,Development task to handle logic and feature.,2025-11-10,Emma,23,Development,In Progress,Medium
111,Development task to handle feature and database.,2025-10-29,Lucas,17,Development,In Progress,Medium
112,Deployment task to handle server and container.,2025-11-12,Mia,13,Deployment,In Progress,Medium
113,Design task to handle UX and UI.,2025-11-20,Ava,9,Design,In Progress,Low
114,Testing task to handle bug and QA.,2025-11-10,Isabella,23,Testing,In Progress,Medium
115,Testing task to handle cases and validation.,2025-10-30,Liam,13,Testing,In Progress,Medium
116,Design task to handle banner and UX.,2025-10-30,Noah,13,Design,In Progress,Medium
117,Development task to handle feature and function.,2025-10-25,Noah,39,Development,Pending,High
118,Testing task to handle error and performance.,2025-10-25,Mia,25,Testing,In Progress,Medium
119,Documentation task to handle notes and guide.,2025-12-07,Isabella,3,Documentation,Completed,Low
120,Testing task to handle validation and performance.,2025-10-28,Lucas,24,Testing,In Progress,Medium
121,Documentation task to handle instructions and summary.,2025-11-19,Mia,2,Documentation,In Progress,Low
122,Deployment task to handle CI/CD and environment.,2025-12-08,Isabella,10,Deployment,In Progress,Low
123,Design task to handle UX and banner.,2025-11-14,Sophia,11,Design,In Progress,Medium
124,Deployment task to handle container and CI/CD.,2025-10-30,Sophia,15,Deployment,In Progress,Medium
125,Testing task to handle validation and test.,2025-11-07,Emma,14,Testing,In Progress,Medium
126,Design task to handle layout and UX.,2025-11-16,Ava,5,Design,In Progress,Low
127,Testing task to handle validation and QA.,2025-11-08,Ava,20,Testing,In Progress,Medium
128,Design task to handle banner and design.,2025-11-14,Mia,16,Design,In Progress,Medium
129,Development task to handle backend and feature.,2025-11-01,Ava,18,Development,In Progress,Medium
130,Documentation task to handle guide and docs.,2025-11-22,James,8,Documentation,In Progress,Low
131,Documentation task to handle reference and guide.,2025-12-10,Olivia,6,Documentation,In Progress,Low
132,Deployment task to handle container and deploy.,2025-10-25,James,28,Deployment,In Progress,High
133,Design task to handle color and UX.,2025-10-28,Olivia,19,Design,In Progress,Medium
134,Design task to handle design and color.,2025-10-31,Liam,11,Design,In Progress,Medium
135,Design task to handle UX and UI.,2025-12-03,James,5,Design,In Progress,Low
136,Testing task to handle performance and cases.,2025-11-03,Liam,15,Testing,In Progress,Medium
137,Design task to handle UX and color.,2025-12-08,Ava,5,Design,Completed,Low
138,Development task to handle function and module.,2025-10-31,Noah,21,Development,In Progress,Medium
139,Deployment task to handle server and CI/CD.,2025-10-21,Noah,29,Deployment,In Progress,High
140,Development task to handle module and logic.,2025-10-25,Olivia,21,Development,In Progress,Medium
141,Development task to handle function and feature.,2025-11-12,Sophia,20,Development,In Progress,Medium
142,Documentation task to handle summary and manual.,2025-12-07,Ava,8,Documentation,In Progress,Low
143,Deployment task to handle server and CI/CD.,2025-11-04,Ava,11,Deployment,In Progress,Medium
144,Documentation task to handle manual and notes.,2025-12-06,Emma,7,Documentation,Completed,Low
145,Design task to handle design and UX.,2025-12-05,Olivia,9,Design,In Progress,Low
146,Testing task to handle validation and error.,2025-12-01,James,10,Testing,In Progress,Low
147,Deployment task to handle environment and production.,2025-11-05,James,18,Deployment,In Progress,Medium
148,Testing task to handle bug and error.,2025-11-08,Sophia,16,Testing,In Progress,Medium
149,Design task to handle UX and mockup.,2025-10-31,Ava,18,Design,In Progress,Medium
150,Testing task to handle error and performance.,2025-10-26,Sophia,20,Testing,In Progress,Medium
151,Testing task to handle test and QA.,2025-12-02,Ava,9,Testing,In Progress,Low
152,Deployment task to handle environment and server.,2025-11-12,Isabella,25,Deployment,In Progress,Medium
153,Testing task to handle bug and performance.,2025-11-18,Liam,9,Testing,In Progress,Low
154,Deployment task to handle deploy and environment.,2025-11-03,Sophia,25,Deployment,In Progress,Medium
155,Development task to handle backend and function.,2025-10-22,Mia,39,Development,In Progress,High
156,Development task to handle module and logic.,2025-10-19,Noah,28,Development,In Progress,High
157,Design task to handle mockup and UX.,2025-12-09,Lucas,8,Design,In Progress,Low
158,Testing task to handle performance and validation.,2025-11-09,Lucas,25,Testing,In Progress,Medium
159,Design task to handle layout and mockup.,2025-11-07,Mia,20,Design,In Progress,Medium
160,Documentation task to handle summary and instructions.,2025-12-09,Mia,4,Documentation,In Progress,Low
161,Testing task to handle bug and performance.,2025-11-12,Ava,13,Testing,In Progress,Medium
162,Documentation task to handle guide and reference.,2025-11-28,Mia,7,Documentation,Completed,Low
163,Design task to handle UX and color.,2025-11-14,Liam,16,Design,In Progress,Medium
164,Design task to handle layout and mockup.,2025-10-27,Liam,13,Design,In Progress,Medium
165,Development task to handle API and feature.,2025-10-30,Ava,11,Development,In Progress,Medium
166,Development task to handle database and function.,2025-10-31,Noah,13,Development,In Progress,Medium
167,Development task to handle module and backend.,2025-11-13,Noah,21,Development,In Progress,Medium
168,Development task to handle function and module.,2025-11-10,Mia,16,Development,In Progress,Medium
169,Development task to handle API and logic.,2025-10-20,James,35,Development,Pending,High
170,Documentation task to handle reference and docs.,2025-11-18,Sophia,3,Documentation,Completed,Low
171,Design task to handle UX and color.,2025-11-03,Ava,14,Design,In Progress,Medium
172,Documentation task to handle docs and manual.,2025-11-25,Sophia,7,Documentation,Completed,Low
173,Development task to handle backend and function.,2025-10-20,Emma,34,Development,In Progress,High
174,Documentation task to handle docs and reference.,2025-11-29,Olivia,5,Documentation,In Progress,Low
175,Testing task to handle cases and test.,2025-11-14,Isabella,18,Testing,In Progress,Medium
176,Documentation task to handle notes and guide.,2025-11-19,Liam,8,Documentation,In Progress,Low
177,Development task to handle function and feature.,2025-10-19,Isabella,38,Development,In Progress,High
178,Development task to handle function and backend.,2025-10-30,Emma,15,Development,In Progress,Medium
179,Documentation task to handle reference and summary.,2025-12-12,James,6,Documentation,Completed,Low
180,Development task to handle logic and function.,2025-10-24,Ava,36,Development,Pending,High
181,Development task to handle logic and database.,2025-11-02,Sophia,23,Development,In Progress,Medium
182,Development task to handle logic and API.,2025-11-06,Olivia,24,Development,In Progress,Medium
183,Development task to handle backend and module.,2025-10-25,Ava,20,Development,In Progress,Medium
184,Development task to handle function and logic.,2025-10-25,Liam,13,Development,In Progress,Medium
185,Documentation task to handle manual and instructions.,2025-12-13,Liam,3,Documentation,Completed,Low
186,Development task to handle module and API.,2025-11-13,Sophia,16,Development,In Progress,Medium
187,Documentation task to handle guide and notes.,2025-12-02,Noah,3,Documentation,Completed,Low
188,Deployment task to handle environment and server.,2025-11-29,Sophia,10,Deployment,In Progress,Low
189,Deployment task to handle CI/CD and environment.,2025-10-18,Noah,29,Deployment,In Progress,High
